,hikename,report,index
444,"Truman Trail-Pumice Plains, Boundary Trail, Harry's Ridge — Washington Trails Association","
We arrived at 6am for sunrise with only one other person on the trail. There were lots of elk on the road so drive carefully in the dark! We encountered two herds on the way up and saw many more within the park. Trail conditions are great and right now the temp is perfect in the early morning. Remember to bring water as there is none outside of the visitor center which doesn’t open until 10am. Also try to bring some poop bags since the ground is super rocky and difficult to dig a cat hole in. With no bathroom access until the center opens early morning hikers might need a bathroom break at some point on the trail. There is a food truck in the parking lot so bring some cash for post-hike snacks! Wildflowers are minimal at the moment but definitely some out there. Note that the Truman Trail doesn’t actually lead down to Spirit Lake but rather around it to Windy Ridge. You will get views but not close. After the turn off from boundary trail Harry’s Ridge goes to the left an dup the hill right in front of you above Spirit Lake. Truman trail goes down to the right.
",444
445,Tucannon River Canyon — Washington Trails Association,"
This 8-mile round trip trail is a relatively easy walk although it does have some branches hanging on the side and near the turn around a number of logs across the road and you walk along a few sheer hillsides. There is river access at the beginning and the turn around (after 4 miles) and the majority of the rest of the trail goes in and out of beautiful old growth forests. I brought water for the dog to have a few times along the trail. This trail has lots of camping spots along it and is a gateway to many more trails within the National Forest if you're looking for some overnight adventures.
The road up is a really bumpy. My Subaru Impreza made it but not without a few frightful sounds. When I go next time I may be borrowing a larger vehicle.
Permits needed: NW Forest Pass
",445
446,"Tuck and Robin Lakes, Granite Mountain Potholes — Washington Trails Association","
A not-so-favorable weather forecast in the North Cascades brought us over to Tuck and Robin where it looked like we might at least have a chance of some sun. The drive out there was a long one on the dirt road - lots of washboard areas and some large potholes here and there. The Scatter Creek crossing is dry but lots of big river rocks and some sharp angles getting in/out of the creek bed but easy peasy in a Forester or anything with similar/higher clearance. Note that all the outhouses at the last few trails along the road are closed but there's a sign marking the last open one (it's just a Honey Bucket on the right side of the road). We left from the trailhead at noon on Saturday and moved pretty slowly through the first section because of all the delicious thimbleberry patches along the way. Getting up to Deception Pass the trail is easy to follow (and mostly flat). There are a number of small stream/creek crossings but the water is running low enough right now that none posed any problems. The switchbacks towards Deception Pass are well-maintained and seem like a breeze compared to what's coming. Keep an eye out for the junction at Deception Pass - the Tuck and Robin trail dips downhill to the right which seemed to confuse some folks who clearly had passed it and came back while we were stopped there eating a snack. From here on out this trail is no joke. I'm an experienced backpacker but this took extra energy just because of the concentration required with footwork. The mile from Deception Pass to Tuck is mostly just straight up and not well-maintained - a number of blowdowns but nothing difficult to maneuver around. This section is still pretty easy to follow though - it's the part from Tuck to Robin where it gets confusing. We got some great advice from some other backpackers we encountered on our way up who were just coming down from Robin - we knew to keep Tuck on our left but they told us make sure that we were in between Tuck and a bouldery outcrop when you first get to Tuck. There's a social trail there that takes you up on the outcrop and gives you great views of Mt. Daniels but apparently dead-ends at some point further on (they told us if we accidentally went that way that if we saw a cairn with sunglasses on it we'd gone too far). ""Stay away from the views"" was their advice and it worked great. The first section along Tuck is actually the hardest to navigate - the cairns became more consistent and more obvious once you started the climb up to Robin. I use Gaia GPS and as others have noted it wasn't charted correctly from Tuck so best to use the cairns and tips from other users. Early on at Tuck you'll also head down some rocks that from first view look like a drop-off and then cross a log jam on the lake before walking through a campsite and rejoining a more obvious trail. It's definitely a scramble in some places that involve using all fours but hiking poles were still helpful/necessary 90% of the time. Lots of up and down and rock scrambles until the trail turns left and opens up on a big granite slab that is the last climb to Robin. It was a sweet sweet moment finally getting above the lake basin and seeing home for the next two nights! We hit Robin at 5pm so took us five hours with breaks. Lots of social trails around the lakes but we went towards Upper Robin to set up camp since it was a little more wind-protected than Lower. Note that there are NO pit toilets here or at Tuck (but man oh man could it use some this is difficult and limited terrain to dig proper cat holes in) so come prepared to dig a cat hole and pack out your TP. There are also no trees suitable for a bear hang at Robin so we carried bear bins. Temps in the low 30s that night but clear. Saturday we scrambled up to some of the smaller peaks above the Robin lakes basin - got a clear morning with views of Rainier Adams and Glacier! After coming back to camp we used some of that sun to sunbathe on the rocks at the lake for a while before the winds kicked up. After lunch I went exploring to Granite Potholes - it was only about a 25 minute hike from Upper Robin but definitely used my GPS to help me navigate there - the social trails get confusing getting around Robin and the trail is not marked to Granite save one or two cairns along the way. It was beautiful down there - wandered around the basin and got views down to Phoebe Lakes before taking a polar bear plunge (made it about 10 seconds!). Rain came that night but luckily ended before we got up in the morning. Packed up a wet camp and finally got some mountain goat visitors (not nearly as many out and about as in the Enchantments). Remember to pee on the rocks here instead of the vegetation so that the goats don't trample the fragile plants trying to get to the salts in your pee. We left camp around 10am - had seen some folks getting lost leaving Robin but the cairns seemed pretty straightforward to us. We were back at the car around 2pm with one snack break. It took us about the same time to get down from Robin to Tuck as it did to go up but everything else went faster. Gnarly ascent but so worth it! 
",446
447,Tumwater Pipeline Trail — Washington Trails Association,"
Nice hike. Done with a three year old and a baby in a carrier. Had a small amount of rain but nothing to make us turn around. Easy to find and park.
",447
448,Tunnel Creek — Washington Trails Association,"
Went up to 5050 pass from tunnel creek and then up to the high point at about 5260 above Harrison Lake. If you are going to 5050 i highly recommend taking the additional time up the ridge trail to get a full view of the Olympics
",448
449,Twin Falls — Washington Trails Association,"
Great walk was in great shape took my 82 y.o. dad
,
Decided to check this hike out while we were out that way. We parked at the eastern parking lot (off exit 38 I believe) and there were plenty of spots at around 12:30pm. The trail from this trailhead has a section where the growth is encroaching onto the very narrow trail. There is a tree across the trail you need to climb over and another you have to duck under but other than that the trail is in great condition. The falls were gorgeous but there were quite a few people and the small observation area felt crowded. There should be better signage because there are two different trail heads/ trails that meet at the falls but people were headed down the other trailhead trail after viewing the falls because there were no signs that said that's what it was and had to turn around and head back when they realized. 
,
Escaped to the Cascades in the Snoqualmie region to get out for a quick and scenic hike today! This is the first time I have been on this trail in over a year and I forgot how beautiful this hike is along the way to the viewpoints of the falls. The trail has lots of greenery and the views of the river are amazing. I took a rest at the benches about halfway up the trail and it was completely worth it to take the moment to take in the views. To view the falls I stopped at both the lower falls viewpoint and at the big bridge. The lower falls viewpoint is my favorite place to view the falls especially today since there were so few people on the trail. All in all this was a great quick short hike with amazing views to get outside for morning (along with celebrating a #WaterfallWednesday). 
",449
450,Twin Lakes (Wenatchee) — Washington Trails Association,"
Rating:  4 of 5 stars (a great hike during the rain!) My opinions:  How did I miss this gem of a hike?  It’s really a nice one and a great one to do in the rain because I could still see the lakes.  If you make it to the first lake the second lake is a very easy hike—keep going because the second twin lake is prettier.  Make sure you go to the end of the trail at the second lake.  You will cross some old wooden walk-ways push through some over-growth and end at big 8 by 8 foot wooden platform which has a wonderful view of the lake from the shore. Although there is only 1000 feet elevation gain in 4.2 miles (one way) this elevation gain seems like an “easy” hike.  However this hike is more difficult than it seems.  Most of the elevation gains are in short “spurts” which put these passages into the “moderate” category.  I recommend hiking poles.   Although the lakes are not as spectacular as near-by Minotaur and Theseus Lakes these lakes are pretty and easier to get to.  There are interesting fish hatcheries to explore.  Nice old growth trees.   Explore the river across from the small trailhead parking lot.  We saw fish (salmon?) jumping in the water. There is an overlook at the beginning of the trail which one must visit.  Someone said to save the overlook for the end which we did and enjoyed.  If the weather looks like it will get worse go to the overlook at the beginning of your hike.   Parking & Road Conditions: Great.  For any car the road is paved all the way. NOTE 1:  We think the driving directions lengths are slightly off—about 6 miles instead of 6.2 miles on North Shore Road and about 6 miles instead of 6.3 miles on White River Road/FS 64 so look for the indicators not exact mileage. NOTE 2:  If you cross the one-lane bridge and see Tall Timber Camp then you have gone too far (although there is a big overflow parking lot just across the bridge). NOTE 3:  The trailhead is across from the outhouses. Trail & trail conditions:  Pretty good but there is some overgrowth in areas.  A few downed trees which are easy to climb over. The trail starts out with a steep climb.  There are two or three climbs but a lot of level areas to catch your breath.  The trail between the lakes is pretty level. There are many places to cross the stream which was running low.  Try to cross earlier than later.  We missed the earlier crossing.  My friends back-tracked and crossed; I crossed higher.  Both crossings were easy but I’m not sure if I would have found the trail on the other side which my friends found the trail easily by crossing down-stream.  Coming back was much easier to find the trail and crossing.  Earlier in the season when the water is flowing people said that it is difficult to cross the stream.  However it is easy now. We found a pile of garbage—“fancy” Mountain House meals.  Please pack in and pack out your garbage! Snow:  None. Bugs:  None. Time: Two 60ish years old and one 51 year old took about 7 hours total.   Views:  Nice mountain and lake views. Flowers/Trees:  No flowers.  Some pretty and colorful leaves on trees. Food: Heidelberger Drive-in in Leavenworth.  Good hamburgers.   Benjarong Thai in Monroe.  Outstanding Salmon Curry.  (Open until 9:30 pm except 10:30 pm on Fri & Sat)
",450
451,"Twin Lakes - Monte Cristo, Silver Lake - Monte Cristo — Washington Trails Association","
Made my way out to Twin Lakes mainly as a scouting hike for Columbia Peak. The trail past Monte Cristo is in good shape all the way although a little more overgrown once you pass Silver Lake. Weirdly despite this being a Friday there were no other parties going to Twin Lakes on the register. This was a long day hike for me. About 18 miles and 9 hours car to car with a half hour break at a small peak above the lakes. Really wish I had a cheap mountain bike specifically for the painfully boring gravel road section to Monte Cristo. Will be returning soon to camp near twin lakes then climb Columbia Peak. 
",451
452,Twin Lakes and Lake Lillian — Washington Trails Association,"
Beautiful evening for a walk to Lake Lillian and the hills above. Big plump berries above the lake tasted faintly of bananas. So plentiful even my dog started partaking. We saw no animals or people the entire time we were out but I think we missed someone that was fishing at Lillian. The sunset was a good one and we came down in the dark.
",452
453,"Twin Lakes and Lake Lillian, Margaret Lake — Washington Trails Association","
Not super easy to find the trailhead as there is very little signage. Went to Lake Margret first and jumped in very refreshing. Then onto Lake Lillian both trails were in good condition. There isn't a sign to go up the trail but take the left fork on the road about a 100 yards up from the parking lot. The trail starts a way up on that road with a hiking sign on the left of the road. 
",453
454,Twin Sisters Lakes — Washington Trails Association,"
The TH is reached on a dirt road 9.5 miles from Bumping Lake CG. It is slow going but can be traveled by any vehicle if driven carefully. We didn't begin hiking until 12:30 so didn't have time to explore the area as we would have liked to. The trail climbs at a gradual grade for 2 miles gaining almost 1000 feet before reaching Little Sisters Lake. We hiked to Big Sisters Lake and then returned to explore a side trail near Little Sisters lake. We have not hiked this trail for 20 years or more but we used to camp at the CG at the TH several times each fall and hike the trails in the area. We backpacked the area once. There are many lakes and ponds to explore from This TH when backpacking. Blankenship Lakes can be reached from this TH. The fall colors are spectacular. We talked to several bow hunters in the area. 
",454
455,Umtanum Creek Canyon — Washington Trails Association,"
Not too much new to add from previous reports. The trail is super hard to follow and very over grown. There is a maze of trails many of which lead to a dead end in the bushes. Yes definitely wear your long pants if you feel like bush-waking. You can see signs of beavers and a couple dams along the creek. I didn’t see any wildlife however. The bridge is unique and the river is perfect for kayaking which is what we ended up doing. FYI: There is a sign posted that the bridge will be closed in October for repairs....hopefully they fix up the trail during that time too.
,
We made the mistake of wearing shorts and short sleeves on this one. The trail is in a beautiful area but it is overgrown and hard to follow.
Although we watched a half dozen others turn around pretty early on we thought we would tough it out and get farther. We didn’t.
We followed the directions on the main trail description but about 1.2 miles in gave up and turned around.
The trail starts in a great recreation area for the Yakima River so bring your cooler and rafts. Don’t forget to bring a $5 bill because passes aren’t honored here. Bring a pen too to fill out your permit.
The trail is worth checking out but don’t forget your long hiking pants and trailblazing spirit.
",455
456,Vesper Peak — Washington Trails Association,"
Back again to hike this one again because last trip we were shrouded in fog the entire trip.    The trail is rough but this is a great trail if you are looking for a physical workout.     I took some video with my drone at the top.   Video below.  
",456
457,Wallace Falls State Park — Washington Trails Association,"
Not too busy and a beautiful view. Very friendly ranger at the station. And the start od mushroom season--saw some russula.
,
TLDR: No drones easy parking easy road moderately busy excellent trail conditions good sights.
Got into the park around 10 AM parking lot was pretty busy but plenty of spots still open. Thankfully the weather was fairly sunny always makes for a nice start to any hike. After getting past the buzzing powerlines and into the trees a refreshing misty air helped me forget how out of shape I actually am.
Decided to take a detour off the normal woody trail to see the ""small falls"" - this was a great decision. There was absolutely nobody on this trail the signs told a cute story about a grandmother tree and I found the ""amphitheater"" an awesome communal seating location with a good fire pit in the middle. Great spot to hang out before or after the hike if you're with a group. Did I mention NO PEOPLE? More woodpeckers and less peckerwoods is always appreciated.
Walked some more along the main trail up to the RR grade cutoff. Was informed that there was a hornet nest on the path up ahead and I wanted to try a different route. The cutoff was short but steep and after getting on the ""old railroad grade"" it was very relaxed and again saw NO PEOPLE (!)
Next time you go consider taking the railroad grade as far as it will go it's much more peaceful and much easier assuming your goal is to see the falls and not to get exercise. Less people on it means a more nature-y experience I was able to hear various birds and frogs and some insects after taking a moment to sit still. 
10/10 would nature again
",457
458,"Waptus River, Spade Lake — Washington Trails Association","
I hike/jogged from the Salmon La Sac TH to Waptus Lake Spade Lake and back again. It's about 25 miles/ 6000 gain+loss. Started around 7:15am and it was in the low 40's so I hiked in my long sleeves wind jacket and wind pants. 
Waptus River trail has lots of ups and downs. My GPS showed about 1800 gain/loss from the TH to the Spade Lake turn off. Trail is dusty and rocky in some places. The ford is easy I was able to do it barefoot. It was mid-calf deep on me I'm 5'5"" tall.
There is a connector trail to Spade Lake around the midpoint of Waptus Lake near some campsites. You don't have to go around like some maps show. Trail goes steeply up and meets the PCT turn right and go a few steps for the continuation of the trail. 
Spade Lake trail is steep dusty loose dirt with some blowdowns and brushiness. My GPS said it was 3 miles to the overlook above the lake and 2373 net elevation gain. The trail goes up up up and then traverses left and goes down/up/down/up before finally descending to the lake. It's definitely a more difficult trail than the Waptus River trail and I used poles to descend it because of the steep loose dirt. It isn't too bad though-- took me about 90 minutes from Waptus to Spade. 
I scrambled left on social trails at the lake to find a nice slab for lunch and a nap before heading back. There are some sizable fish in the lake water is so clear I could watch them swimming around.
",458
459,Washington Park — Washington Trails Association,"
Although the park was very busy with Labor Day visitors my husband and I(we are seniors) enjoyed the hike around the park. We dodged many vehicles as we shared the road. It is a park that has space for many activities  like a boat launch kids playground beaches camping spots a nice paved road for walking biking and driving. The hike took us about 2 hours due to our taking some side paths for viewing. Beautiful day and fantastic views!


",459
460,Wedge Mountain — Washington Trails Association,"
We have done this hike many times. Spring for bluebirds and butterflies autumn for color.
We have never seen it this dry. Also the road was so very bad. Much much worse. Huge ruts. Lots of runoff damage.
",460
461,Weowna Park — Washington Trails Association,"
We hiked from the tiny parking area (room for 2 cars) around 19th Sammamish parkway.  We took the bottom loop of the trail system. We did not go on the Phantom Creek loop. 
The trail was in great condition and easily navigated by kids ages 2.5 4 and 7. The steep parts still felt safe and were not overly challenging. 
We saw many other hikers and joggers as well as several well behaved dogs. 
Many scenic overlooks which are nicley built platforms. There were also several benches along the trail.  The trail is well marked. 
It took us just under 2 hours to finish the loop but we walked at the pace of a two year old who likes to watch slugs. 

",461
462,West Crater — Washington Trails Association,"
Tried to find this trail on 9/4/18 no luck at all and the road #34 forest service has not been serviced and was way overgrown! Bushes and low hanging trees scratched our vehicle very badly. We turned around and went back. Why aren’t these trails marked?????Very frustrating because it took all morning to get there. And our poor car will need professional painter to fix all the scratches. We could not turn around for miles....very bad road and no marking for trail.
",462
463,West Tiger 3 — Washington Trails Association,"
This was a very pretty quick hike in close proximity to Seattle - perfect if you're low on time but want to squeeze in a hike! We thought it would be crowded but although we saw plenty of people sporadically they seemed well dispersed on the myriad of trails so we actually had the trail to ourselves most of the time. Just one thing about the mileage - WTA says 5 miles but we passed a sign at one of the junctions that said we had come 2.2 miles from the High Point trailhead and that the summit was another 0.9 miles. That would make 6.2 miles round trip. Not really a big deal as it's an easy trail but if you're a beginner have small children with you or are looking for specific elevation gain per mile for training then this info is somewhat misleading.
",463
464,West Tiger Four-Summit Loop — Washington Trails Association,"
This was my first time in Tiger Mountain State Forest. I saw so many people trail running and am excited to have found a great place to trail run so close to Seattle. I hiked this on Labor Day and the weather was perfect. Overall the trail conditions were good with the exception of: 1. RR Grade: mostly overgrown although I did not see any nettles or anything dangerous. 2. Section Line Trail: steep going up but very difficult coming down; the trail is extremely dry right now leading to loose dirt/rocks that caused several slips. Highly recommend bringing hiking poles (which I didn't) or taking the Cable Line Trail back to the trail head. The above directions were great but early on I missed the turnoff to Nook Trail and ended up taking the West Tiger 3 Trail to Talus Rocks Trail and continued on with the above instructions. Poo Poo Point had great views of Lake Sammamish and of paragliders launching from this site. If you are looking for great views don't be fooled by the thought of hiking to three West Tiger Summits. West Tiger 1 is the tallest but has a large tower obstructing any views; just a short walk on the Bypass Trial does lead you to the best view point of the hike: Hiker's Hunt Viewpoint where if you're lucky you can see Mount Rainier to the south and the Olympics to the west. Unfortunately although it wasn't cloudy there was haze/smoke to the south obstructing the view of Mount Rainier during my hike. I was able to see a vague outline of the Olympics. There is also an interesting metal Hikers Hut here. The hike to West Tiger 2 (which has absolutely no view point) and then to West Tiger 3 (which has a small view point of a lake through the trees) is quite easy after hiking up to West Tiger 1. I encountered few bugs and few people during this hike (until I got to Poo Poo Point and West Tiger 3). The parking lot was busy but still had spaces. 
",464
465,White Chuck Bench — Washington Trails Association,"
Hadn't been here in awhile and chose it as a rainy day hike though it only rained in earnest at the beginning and end of my day.  The short dirt road portion of the road was muddy and a little slick but is passable to all to the trailhead.  I didn't see a soul my entire hike just what I was looking for.
The trail is in great shape and you can go much further than the last time I was here several years ago.  My phone app said I logged 9 miles and I'm guessing it was over 8 for sure.  Fall colors are just starting to come in they should be in full swing in a couple of weeks.  Although you here the river in places don't expect to get close without some bushwaching.  The undergrowth was also thicker than I remember in previous trips here.  All in all it was still a great walk in the woods.
",465
466,White Chuck Mountain — Washington Trails Association,"
Road has some large pot holes for the last few miles but should be doable for smaller vehicles with patience. It was about 50 minutes on gravel in my Jeep from where you leave the main road to the trailhead. Wouldn't be a bad place to car camp at the trailhead it offers pretty good views. 
I was having a hard time gauging the difficulty of this trail with reports spanning everything from very easy to very difficult. My opinion is the perceived difficulty of this peak is in direct correlation with how well you handle heights and exposed trail. It really isn't that difficult but there are quite a few places where you absolutely don't want to fall. 
The first half of the trail is easy to follow just stay on the trail that is obviously the most used for 1.5 miles or so. The real fun begins at the gully between the false and true peaks. The boot path is pretty well defined where it can be and there are cairns to follow on the slabbier sections. You go up the gully a short distance and then break off to the right and begin zig zagging your way to the saddle. It is steep but still class 2 in my opinion. The only class 3 moves are right before the summit. You will drop down about 10 feet to a notch there are many solid foot/hand holds and the exposure isn't that bad. Honestly some of the boot path sections are sketchier than this short climbing section. 
When you reach the saddle the trail splits 3 ways. One goes to the false summit and two go towards the true summit. These two trails will meet up in 100 yards or so I would suggest the upper path closer to the Ridgeline because it offers views of a glacier on the backside but either will do. 
1 hr 30 min trailhead to summit about the same on the way back at a leisurely pace. This is now in my top 3 hikes under five miles and I'll probably be back for a sunrise summit eventually. 
",466
467,White Pass - Pilot Ridge Loop — Washington Trails Association,"
An aborted but still very enjoyable overnight on this loop. 
I've had this hike on my list for six years and after plans to do a different three-day hike fell through I decided at 11pm (literally the eleventh hour) Thursday night to give the White Pass loop a shot. 
After stopping at the bookstore in Darrington for a couple of shots of espresso and a map (both very important) I headed for the trailhead. The road is largely OK except for two spots where a high clearance vehicle is necessary. Other trip reporters say they've scraped the bottom of sedans; I believe it.
Started down the trail at 11:15. I'd had some trouble on my last backpacking trip due to the combination of my leather hiking boots an uber-heavy pack and heat but I figured it was cooler this weekend and my pack was a little lighter this time. Plus I knew I had a lot of daylight so I took it easy on the 6-mile flat part hiking briskly but not so quick that my feet would get hotspots before the grueling climb I knew was coming. 
The North Fork trail is in great shape. I saw a friend who works on the Darrington trail crew when I came out of my hike and he said they've been there three times this year. It shows. Most of the trail is in great shape. I cleared one drain on the way up and one on the way down but that was largely preventative maintenance. 
At Mackinaw shelter I took a break refilled water and headed up the trail. It took me a long time to get up those 3.5 miles of climbing. It was 2pm by the time I got to Mackinaw so it was really hot heading uphill and I took a rest at each switchback. My pace was roughly 1 mile per hour with lots of breathing breaks in the shade. My pack felt way too heavy and my feet were extremely sore. During my breaks I didn't even have the energy for berries which were everywhere. It was around the 12th switchback that I decided I need to get a new pack. It's the only thing that has changed in my setup in the last year and it's made two hikes that should have been only challenging extremely strenuous. 
Finally I made it out of the switchbacks and completed the traverse to White Pass which was stunning. The forecast had called for clouds and showers in the afternoon so I was very thankful that the weather held off. I'd watched clouds blow in as I climbed but luckily they simply added to the drama when I got to the top. 
I got to the camps at White Pass at 5pm. I wasn't feeling great so I had some salty snacks and chilled out for a second then set up my tent. I had a big dinner and thought about my planned hike. I didn't think I could carry my pack for the next two days with all my food and gear so I was considering just doing a day hike from White Pass on Saturday and heading back down Sunday.
Using the WTA Trailblazer app was key as I considered this. From it and the five trip reports that were cached in the offline version I learned that the Blue Lake High Route was tricky and the detour around it added four miles to the hike. That cemented my decision; I hadn't seen anyone else heading up (six people heading out though) and I didn't much feel like doing that high route alone. 
So I decided to day trip to Foam Creek Basin and Red Pass the next day. But when Saturday arrived it was dead silent in the morning. I opened my tent to clouds and fog -- I think I was in  a cloud. I hung around camp for a while having some berries with breakfast and lounging waiting for it to clear but by 10 30am it hadn't and I decided to go home. 
The way down was largely uneventful (unless you count more foot pain an event) but I did accomplish my goal of collecting berries for the season! I got about 3/4 of a Nalgene's worth of them and just had some of them in pancakes this morning! 
It was a gorgeous trip and I'm glad I got up there even if it's just for one day. It was actually really nice to have the flexibility to change plans a few times -- I'm not disappointed in leaving early and I've planned lots of possible routes through here for next season when I have a lighter pack and stronger feet. 
",467
468,White Pass to Chinook Pass — Washington Trails Association,"
September 3 2018
PCT White Pass to Chinook Pass
Did as a thru hike left car at Chinook Pass (smaller lot on east side of foot bridge over Hwy 410) Friend dropped us off at White Pass PCT trail head.  Trail is fairly gentle to Pipe Lake and clearly marked. We leap frogged with a half dozen PCT thru hikers over the next two and half days.  Since it was about three hour drive from Seattle to Chinook Pass then to White Pass we hiked about half a day to Pipe Lake. (Approximately 7.5) We camped at one of three sites on the lake that had been used before.  Two of the sites should not be used too close to lake and trail. Leave no trace not being practiced by others as there were stablished fire rings at all three sites and unburied waste.   We did some mitzvah bloom/waste burials but suggest a real shovel if you go as trowel was not sufficient to do needed clean up for no trace.  What is it with folks who bring in grates and pots then leave them in the fire pit like someone else is going to pick up after them?  We left the site we used cleaner than when we arrived.  A half dozen of the thru hikers camped at Snow Lake.   
One of the hikers we chatted with along the way was more familiar with mushrooms and pointed out several edible varieties on the trail but bugs had already gotten to them.  None were varieties I was familiar with.
Concern: There is a nice bridge crossing Bumping River. We stopped here for lunch.  There was a car garage size tent set up and behind it some tarps and pits had been dug up that contained additional shelters and tarps.  Did not look like approved 48 hour cache nor did it appear to be intended for limited occupancy.  Maybe Ok and a boy scout troop coming in but made me a bit nervous.  Also leave no trace not in practice. 
Just after crossing log across stream we could smell fire smoke but only at that point. Think it was coming along the creek bed with the wind. As soon as we headed away from the creek air was clear.  Later that day when we were fairly high and closer to ridge line we could see a plume of smoke from a smaller forest fire below. 
On day two and three we had more steep climbs and more of the ankle turning loose rock on the trail.  We hiked about 12 miles on day two and three.  Thru hikers were having no issues at twice our pace but they liked to take breaks start earlier and hike later so we did leap frog a bit.
We had Crag Lake as a possible campsite for day two but trail to the lake is not marked or we missed it.  Even if we had seen the trail the required amount of down and then back up we would not have gone to the lake.  If looking for fish suggest giving it a try spend a couple days. We could see fish jumping from way up on the trail.   
Opted for previously used camp on what I think is an unnamed lake on the map a little beyond Crag Lake. Trail was obvious off the PCT but site is across a meadow so earlier in the year would likely be wet. Again leave no trace not in practice.  Camp had fire pit grate and bloom/waste.  Also on the ground by the grate was the metal sign that had been vandalized and removed from Fish Lake!  There was space for all three small tents in one spot in the trees.  At dusk as we were setting up the tents herd of elk ran through one end of the small lake going away from the trail and camp. We listened to them crashing through the woods and bugling into the night.  At the rate they travel probably into the next county by now.
Day three had about the same amount of uphill as the previous 12 miles but the view along this mileage was the best.  Completed about 12 miles to Chinook Pass and drove back to Seattle.   Green map calculated section as over 30 miles PCT data book has it as under 30.  There are plenty of places to camp along the route so you could spread the mileage over more days.  The last portion of day three is downhill into Chinook Pass but the grade is well designed gradual and not an issue for the knees.  In fact none of the downhill on this trail was an issue for my knees.
Blueberries were ripe along the trail more in some areas than others.  And as expected on the trail to go with the berries observed fair amount of bear and some coyote scat.  At a couple of the rocky slide areas marmots and Pika were out in plain view. One Pika was so close to the trail it was visible inside the nest area.  Seasonal streams were without water.  Plenty of lakes and reliable streams so no need to pack extra water.  
One mosquito bite at Dewey Lake. Companion had a couple at Pipe Lake. 
Elk bugle             https://www.youtube.com/watch?v=pYzWmKlZtrU
,
Did this as a two night backpacking trip with a couple friends over the Labor Day weekend. It was an awesome hike! We left white pass at noon and hiked to snow lake by 5 pm and stayed the night. We passed multiple lakes on the way which was nice to see. We had a couple PCT through hikers camp the night with us. It was neat to talk with them and hear their story. Next morning we left at 9 am and made our way to Anderson lake for our second night. Snow lake to Anderson lake is about 14 miles which is doable but long. First part was through trees and there is a crossing over bumping creek then some long switchbacks for a couple miles. But once you get out of the trees the views are spectacular and it’s much easier from then on. There is a perfect lunch spot at the top with great views of the valley and then mount rainier a bit farther down the trail. We got to Anderson lake by 5 pm and were the first ones so we grabbed a nice camp spot. Heard some animal cries during the night elk maybe possible bear according to the last trip report:/ Both nights were chilly (I wish I had brought a liner for my bag) but the days were perfect. We left the next morning around 10 am and hiked to Dewey lake which is beautiful then on to chinook pass. Tons of day hikers from the lake up to the pass which is to be expected on a nice weekend. Overall it was a great trip!
",468
469,"Whitepine Creek, Frosty Pass — Washington Trails Association","
We did an overnight starting from Whitepine Creek TH. This hike is outlined in Romano's 100 as ""Ladies Pass - Chiwaukum Lakes"" but we didn't complete the entire route. We spent the night at Lake Mary which is about 10-miles from the TH.
The road to the TH off HW2 is about 3-miles and is fairly good with only a few ruts to navigate. There were four other cars when we started (11am) and none when we finished. I think this is a less-traveled trail compared to others in the area. The only obstacles on the trail were a few downed trees that were easy to navigate. Horses might have some trouble but I don't ride horses so I neh to speculate.
At a methodical pace while enjoying the fall colors and vistas it took us 7-hours to arrive at Frosty Pass. We debated whether to camp at Lake Margaret or Lake Mary and we chose the latter. It was getting dark as we made our way to Lake Mary. At the lake we found all the sites to be occupied but a nice group from Wisconsin offered to let us join them. Thank you gentlemen! 
Our roundtrip was 20-miles and the hike was beautiful. We'll go back in the future to see more at Ladies Pass because it sounds wonderful. Happy hiking!
",469
470,Wilderness Peak Loop — Washington Trails Association,"
The rains last night and chilly weather only made this hike better! A short but steep climb this was a great little hike to do in the morning. Took us a little over 2 hours to do the whole loop and while there was no view at the top it was a very rewarding trek. Highly recommend especially for beginners!
",470
